timestep,neighbor,flow_mw,direction,cost_eur
2024-01-11 06:00:00,FI,-1500.0,export,-124125.0
2024-01-11 06:00:00,DK1,-740.0,export,-72283.2
2024-01-11 06:00:00,DK2,-1595.45,export,-156050.96
2024-01-11 06:00:00,PL,-600.0,export,-63798.0
2024-01-11 06:00:00,LT,-700.0,export,-72037.0
2024-01-11 06:00:00,DE,-615.0,export,-60386.85
2024-01-11 07:00:00,NO1,423.12,import,40213.32
2024-01-11 07:00:00,NO3,-240.65,export,-13209.28
2024-01-11 07:00:00,NO4,600.0,import,9720.0
2024-01-11 07:00:00,FI,-1500.0,export,-124125.0
2024-01-11 07:00:00,DK1,-740.0,export,-72283.2
2024-01-11 07:00:00,DK2,-1518.42,export,-148516.66
2024-01-11 07:00:00,PL,-600.0,export,-63798.0
2024-01-11 07:00:00,LT,-700.0,export,-72037.0
2024-01-11 07:00:00,DE,-615.0,export,-60386.85
2024-01-11 08:00:00,NO1,359.04,import,34123.16
2024-01-11 08:00:00,NO3,-444.93,export,-24422.21
2024-01-11 08:00:00,NO4,600.0,import,9720.0
2024-01-11 08:00:00,FI,-1500.0,export,-124125.0
2024-01-11 08:00:00,DK1,-740.0,export,-72283.2
2024-01-11 08:00:00,DK2,-1562.46,export,-152824.21
2024-01-11 08:00:00,PL,-600.0,export,-63798.0
2024-01-11 08:00:00,LT,-700.0,export,-72037.0
2024-01-11 08:00:00,DE,-615.0,export,-60386.85
2024-01-11 09:00:00,NO1,487.17,import,46300.64
2024-01-11 09:00:00,NO3,-442.88,export,-24309.68
2024-01-11 09:00:00,NO4,600.0,import,9720.0
2024-01-11 09:00:00,FI,-1500.0,export,-124125.0
2024-01-11 09:00:00,DK1,-740.0,export,-72283.2
2024-01-11 09:00:00,DK2,-1535.98,export,-150234.2
2024-01-11 09:00:00,PL,-600.0,export,-63798.0
2024-01-11 09:00:00,LT,-700.0,export,-72037.0
2024-01-11 09:00:00,DE,-615.0,export,-60386.85
2024-01-11 10:00:00,NO1,229.59,import,21820.23
2024-01-11 10:00:00,NO3,90.61,import,4973.58
2024-01-11 10:00:00,NO4,600.0,import,9720.0
2024-01-11 10:00:00,FI,-1500.0,export,-124125.0
2024-01-11 10:00:00,DK1,-740.0,export,-72283.2
2024-01-11 10:00:00,DK2,-1441.04,export,-140948.12
2024-01-11 10:00:00,PL,-600.0,export,-63798.0
2024-01-11 10:00:00,LT,-700.0,export,-72037.0
2024-01-11 10:00:00,DE,-615.0,export,-60386.85
2024-01-11 11:00:00,NO1,166.34,import,15808.95
2024-01-11 11:00:00,NO3,573.86,import,31499.18
2024-01-11 11:00:00,NO4,600.0,import,9720.0
2024-01-11 11:00:00,FI,-1500.0,export,-124125.0
2024-01-11 11:00:00,DK1,-740.0,export,-72283.2
2024-01-11 11:00:00,DK2,-1393.73,export,-136320.73
2024-01-11 11:00:00,PL,-600.0,export,-63798.0
2024-01-11 11:00:00,LT,-700.0,export,-72037.0
2024-01-11 11:00:00,DE,-615.0,export,-60386.85
2024-01-11 12:00:00,NO1,320.68,import,30477.43
2024-01-11 12:00:00,NO3,446.43,import,24504.54
2024-01-11 12:00:00,NO4,600.0,import,9720.0
2024-01-11 12:00:00,FI,-1500.0,export,-124125.0
2024-01-11 12:00:00,DK1,-740.0,export,-72283.2
2024-01-11 12:00:00,DK2,-1277.46,export,-124948.36
2024-01-11 12:00:00,PL,-600.0,export,-63798.0
2024-01-11 12:00:00,LT,-700.0,export,-72037.0
2024-01-11 12:00:00,DE,-615.0,export,-60386.85
2024-01-11 13:00:00,NO1,1232.54,import,117140.6
2024-01-11 13:00:00,NO3,334.34,import,18351.92
2024-01-11 13:00:00,NO4,600.0,import,9720.0
2024-01-11 13:00:00,FI,-1500.0,export,-124125.0
2024-01-11 13:00:00,DK1,-740.0,export,-72283.2
2024-01-11 13:00:00,DK2,-1274.46,export,-124654.93
2024-01-11 13:00:00,PL,-600.0,export,-63798.0
2024-01-11 13:00:00,LT,-700.0,export,-72037.0
2024-01-11 13:00:00,DE,-615.0,export,-60386.85
2024-01-11 14:00:00,NO1,1637.34,import,155612.79
2024-01-11 14:00:00,NO3,60.12,import,3299.99
2024-01-11 14:00:00,NO4,600.0,import,9720.0
2024-01-11 14:00:00,FI,-1500.0,export,-124125.0
2024-01-11 14:00:00,DK1,-740.0,export,-72283.2
2024-01-11 14:00:00,DK2,-1282.83,export,-125473.6
2024-01-11 14:00:00,PL,-600.0,export,-63798.0
2024-01-11 14:00:00,LT,-700.0,export,-72037.0
2024-01-11 14:00:00,DE,-615.0,export,-60386.85
2024-01-11 15:00:00,NO1,1924.71,import,182924.44
2024-01-11 15:00:00,NO3,-67.85,export,-3724.29
2024-01-11 15:00:00,NO4,600.0,import,9720.0
2024-01-11 15:00:00,FI,-1500.0,export,-124125.0
2024-01-11 15:00:00,DK1,-740.0,export,-72283.2
2024-01-11 15:00:00,DK2,-1186.7,export,-116071.13
2024-01-11 15:00:00,PL,-600.0,export,-63798.0
2024-01-11 15:00:00,LT,-700.0,export,-72037.0
2024-01-11 15:00:00,DE,-615.0,export,-60386.85
2024-01-11 16:00:00,NO1,2145.0,import,203860.8
2024-01-11 16:00:00,NO3,-409.74,export,-22490.63
2024-01-11 16:00:00,NO4,600.0,import,9720.0
2024-01-11 16:00:00,FI,-1500.0,export,-124125.0
