timestep,plant,generation_mw
t0027,SE4_condensing,0.0
t0027,SE4_solar,0.56
t0028,SE1_hydro,1368.58
t0028,SE1_wind,2393.01
t0028,SE1_chp_district,0.0
t0028,SE1_chp_industry,0.0
t0028,SE1_gasturbine,0.0
t0028,SE1_solar,0.0
t0028,SE2_hydro,4925.57
t0028,SE2_wind,3681.43
t0028,SE2_chp_district,0.0
t0028,SE2_chp_industry,0.0
t0028,SE2_gasturbine,0.0
t0028,SE2_solar,0.0
t0028,SE3_hydro,934.98
t0028,SE3_nuclear,5802.8
t0028,SE3_wind,2332.41
t0028,SE3_chp_district,0.0
t0028,SE3_chp_industry,58.95
t0028,SE3_gasturbine,0.0
t0028,SE3_solar,0.19
t0028,SE4_hydro,80.96
t0028,SE4_wind,568.69
t0028,SE4_chp_district,0.0
t0028,SE4_chp_industry,332.0
t0028,SE4_gasturbine,0.0
t0028,SE4_condensing,0.0
t0028,SE4_solar,0.56
t0029,SE1_hydro,1146.72
t0029,SE1_wind,2342.52
t0029,SE1_chp_district,0.0
t0029,SE1_chp_industry,0.0
t0029,SE1_gasturbine,0.0
t0029,SE1_solar,0.0
t0029,SE2_hydro,4596.38
t0029,SE2_wind,3849.96
t0029,SE2_chp_district,0.0
t0029,SE2_chp_industry,0.0
t0029,SE2_gasturbine,0.0
t0029,SE2_solar,0.0
t0029,SE3_hydro,1208.23
t0029,SE3_nuclear,5802.8
t0029,SE3_wind,2337.87
t0029,SE3_chp_district,0.0
t0029,SE3_chp_industry,420.0
t0029,SE3_gasturbine,0.0
t0029,SE3_solar,0.19
t0029,SE4_hydro,89.25
t0029,SE4_wind,471.85
t0029,SE4_chp_district,114.58
t0029,SE4_chp_industry,332.0
t0029,SE4_gasturbine,0.0
t0029,SE4_condensing,0.0
t0029,SE4_solar,0.56
t0030,SE1_hydro,1203.92
t0030,SE1_wind,2420.21
t0030,SE1_chp_district,0.0
t0030,SE1_chp_industry,93.6
t0030,SE1_gasturbine,0.0
t0030,SE1_solar,0.0
t0030,SE2_hydro,4094.07
t0030,SE2_wind,4001.23
t0030,SE2_chp_district,0.0
t0030,SE2_chp_industry,271.23
t0030,SE2_gasturbine,0.0
t0030,SE2_solar,0.0
t0030,SE3_hydro,1522.23
t0030,SE3_nuclear,5802.8
t0030,SE3_wind,2323.05
t0030,SE3_chp_district,944.78
t0030,SE3_chp_industry,420.0
t0030,SE3_gasturbine,0.0
t0030,SE3_solar,0.19
t0030,SE4_hydro,114.23
t0030,SE4_wind,370.9
t0030,SE4_chp_district,368.0
t0030,SE4_chp_industry,332.0
t0030,SE4_gasturbine,0.0
t0030,SE4_condensing,0.0
t0030,SE4_solar,0.56
t0031,SE1_hydro,1079.89
t0031,SE1_wind,2508.49
t0031,SE1_chp_district,0.0
t0031,SE1_chp_industry,93.6
t0031,SE1_gasturbine,0.0
t0031,SE1_solar,0.0
t0031,SE2_hydro,4229.81
t0031,SE2_wind,4030.93
t0031,SE2_chp_district,0.0
t0031,SE2_chp_industry,333.62
t0031,SE2_gasturbine,0.0
t0031,SE2_solar,0.0
t0031,SE3_hydro,1759.93
t0031,SE3_nuclear,5802.11
t0031,SE3_wind,2292.23
t0031,SE3_chp_district,1600.8
t0031,SE3_chp_industry,420.0
t0031,SE3_gasturbine,0.0
t0031,SE3_solar,0.19
t0031,SE4_hydro,164.37
t0031,SE4_wind,294.15
t0031,SE4_chp_district,368.0
t0031,SE4_chp_industry,332.0
t0031,SE4_gasturbine,0.0
t0031,SE4_condensing,332.33
t0031,SE4_solar,0.56
t0032,SE1_hydro,1108.76
t0032,SE1_wind,2412.96
t0032,SE1_chp_district,0.0
t0032,SE1_chp_industry,13.36
t0032,SE1_gasturbine,0.0
t0032,SE1_solar,0.0
t0032,SE2_hydro,4280.2
t0032,SE2_wind,3941.82
t0032,SE2_chp_district,0.0
t0032,SE2_chp_industry,0.0
t0032,SE2_gasturbine,0.0
t0032,SE2_solar,0.0
t0032,SE3_hydro,1783.54
t0032,SE3_nuclear,5802.8
t0032,SE3_wind,2256.73
t0032,SE3_chp_district,1600.8
t0032,SE3_chp_industry,420.0
t0032,SE3_gasturbine,0.0
t0032,SE3_solar,0.19
t0032,SE4_hydro,188.66
t0032,SE4_wind,288.34
t0032,SE4_chp_district,368.0
t0032,SE4_chp_industry,332.0
t0032,SE4_gasturbine,0.0
