timestep,line,flow_mw,capacity_mw,utilization_pct
2024-07-17 03:00:00,L_DE_SE4,-615.0,615.0,100.0
2024-07-17 04:00:00,L_SE1_SE2,2365.78,3300.0,71.69
2024-07-17 04:00:00,L_SE2_SE3,6647.05,7300.0,91.06
2024-07-17 04:00:00,L_SE3_SE4,4589.49,5300.0,86.59
2024-07-17 04:00:00,L_NO1_SE3,-2071.49,2145.0,96.57
2024-07-17 04:00:00,L_NO3_SE2,1000.0,1000.0,100.0
2024-07-17 04:00:00,L_NO4_SE1,600.0,600.0,100.0
2024-07-17 04:00:00,L_FI_SE1,1500.0,1500.0,100.0
2024-07-17 04:00:00,L_DK1_SE3,-740.0,740.0,100.0
2024-07-17 04:00:00,L_DK2_SE4,-1700.0,1700.0,100.0
2024-07-17 04:00:00,L_PL_SE4,-600.0,600.0,100.0
2024-07-17 04:00:00,L_LT_SE4,-700.0,700.0,100.0
2024-07-17 04:00:00,L_DE_SE4,-615.0,615.0,100.0
2024-07-17 05:00:00,L_SE1_SE2,2662.4,3300.0,80.68
2024-07-17 05:00:00,L_SE2_SE3,7217.43,7300.0,98.87
2024-07-17 05:00:00,L_SE3_SE4,4682.01,5300.0,88.34
2024-07-17 05:00:00,L_NO1_SE3,-2145.0,2145.0,100.0
2024-07-17 05:00:00,L_NO3_SE2,866.86,1000.0,86.69
2024-07-17 05:00:00,L_NO4_SE1,600.0,600.0,100.0
2024-07-17 05:00:00,L_FI_SE1,1500.0,1500.0,100.0
2024-07-17 05:00:00,L_DK1_SE3,-740.0,740.0,100.0
2024-07-17 05:00:00,L_DK2_SE4,-1700.0,1700.0,100.0
2024-07-17 05:00:00,L_PL_SE4,-600.0,600.0,100.0
2024-07-17 05:00:00,L_LT_SE4,-700.0,700.0,100.0
2024-07-17 05:00:00,L_DE_SE4,-615.0,615.0,100.0
2024-07-17 06:00:00,L_SE1_SE2,2865.92,3300.0,86.85
2024-07-17 06:00:00,L_SE2_SE3,7300.0,7300.0,100.0
2024-07-17 06:00:00,L_SE3_SE4,4783.36,5300.0,90.25
2024-07-17 06:00:00,L_NO1_SE3,-1762.47,2145.0,82.17
2024-07-17 06:00:00,L_NO3_SE2,691.68,1000.0,69.17
2024-07-17 06:00:00,L_NO4_SE1,600.0,600.0,100.0
2024-07-17 06:00:00,L_FI_SE1,1500.0,1500.0,100.0
2024-07-17 06:00:00,L_DK1_SE3,-740.0,740.0,100.0
2024-07-17 06:00:00,L_DK2_SE4,-1700.0,1700.0,100.0
2024-07-17 06:00:00,L_PL_SE4,-600.0,600.0,100.0
2024-07-17 06:00:00,L_LT_SE4,-700.0,700.0,100.0
2024-07-17 06:00:00,L_DE_SE4,-615.0,615.0,100.0
2024-07-17 07:00:00,L_SE1_SE2,2738.78,3300.0,82.99
2024-07-17 07:00:00,L_SE2_SE3,7300.0,7300.0,100.0
2024-07-17 07:00:00,L_SE3_SE4,4713.88,5300.0,88.94
2024-07-17 07:00:00,L_NO1_SE3,-1741.2,2145.0,81.17
2024-07-17 07:00:00,L_NO3_SE2,872.57,1000.0,87.26
2024-07-17 07:00:00,L_NO4_SE1,600.0,600.0,100.0
2024-07-17 07:00:00,L_FI_SE1,1500.0,1500.0,100.0
2024-07-17 07:00:00,L_DK1_SE3,-740.0,740.0,100.0
2024-07-17 07:00:00,L_DK2_SE4,-1700.0,1700.0,100.0
2024-07-17 07:00:00,L_PL_SE4,-600.0,600.0,100.0
2024-07-17 07:00:00,L_LT_SE4,-700.0,700.0,100.0
2024-07-17 07:00:00,L_DE_SE4,-615.0,615.0,100.0
2024-07-17 08:00:00,L_SE1_SE2,2668.92,3300.0,80.88
2024-07-17 08:00:00,L_SE2_SE3,7178.75,7300.0,98.34
